line_item_id,order_id,product_id,quantity
1,1,45,6
2,1,49,20
3,1,51,11
4,1,54,17
5,1,51,7
6,1,6,2
7,2,41,6
8,2,37,5
9,3,24,16
10,3,26,18
11,3,51,5
12,4,39,18
13,4,52,20
14,4,34,16
15,4,26,6
16,4,34,14
17,4,45,19
18,4,29,14
19,5,4,14
20,5,24,9
21,5,13,1
22,5,58,11
23,6,47,11
24,6,14,7
25,6,6,9
26,6,54,15
27,6,9,12
28,6,35,14
29,6,6,6
30,7,1,18
31,7,51,1
32,7,35,1
33,7,45,3
34,8,2,5
35,8,15,5
36,8,9,16
37,8,1,7
38,8,36,7
39,8,2,16
40,8,15,19
41,8,4,12
42,9,36,14
43,9,45,14
44,9,44,16
45,9,21,13
46,9,2,9
47,10,20,12
48,10,33,8
49,10,38,19
50,10,12,1
51,10,58,16
52,10,34,19
53,10,14,5
54,11,49,19
55,11,15,11
56,11,47,16
57,11,57,11
58,11,5,5
59,11,2,14
60,11,6,18
61,12,55,18
62,12,15,10
63,13,26,9
64,13,2,1
65,13,52,4
66,14,19,5
67,15,50,20
68,15,35,17
69,15,12,5
70,15,40,13
71,16,15,14
72,16,25,10
73,16,43,7
74,16,7,7
75,16,51,3
76,16,36,3
77,17,2,17
78,18,59,15
79,18,28,12
80,18,40,4
81,18,43,20
82,19,41,13
83,19,35,5
84,19,50,16
85,19,1,1
86,19,29,5
87,19,43,3
88,19,36,11
89,19,49,18
90,20,14,5
91,20,13,7
92,20,24,10
93,20,5,6
94,21,38,14
95,21,20,5
96,21,36,5
97,21,17,14
98,21,31,17
99,21,19,7
100,22,14,14
101,22,4,9
102,22,11,13
103,22,12,11
104,22,35,16
105,22,48,9
106,23,22,8
107,23,26,14
108,23,30,1
109,23,59,4
110,23,34,8
111,23,44,7
112,24,28,1
113,24,4,14
114,24,24,3
115,24,10,4
116,24,51,10
117,25,10,4
118,25,20,14
119,26,3,2
120,26,27,18
121,26,11,8
122,26,59,3
123,27,42,15
124,27,2,19
125,27,9,14
126,27,27,16
127,27,26,14
128,27,29,16
129,27,6,5
130,27,15,16
131,28,12,10
132,28,45,20
133,28,11,17
134,29,47,14
135,29,3,14
136,29,36,5
137,29,42,10
138,29,28,10
139,29,42,15
140,29,53,19
141,30,2,11
142,30,1,17
143,31,2,14
144,31,4,13
145,31,34,16
146,31,36,9
147,31,20,6
148,31,54,2
149,31,44,13
150,31,2,17
151,32,53,7
152,32,46,3
153,32,47,3
154,32,1,1
155,32,26,1
156,32,15,15
157,32,54,20
158,33,8,14
159,34,6,2
160,34,25,5
161,34,1,11
162,34,29,3
163,34,56,7
164,34,59,16
165,34,54,8
166,35,38,20
167,35,53,19
168,35,41,12
169,35,26,19
170,36,26,20
171,37,36,12
172,38,23,5
173,38,10,10
174,38,54,4
175,38,44,2
176,38,4,13
177,38,10,13
178,38,23,1
179,38,57,11
180,39,22,19
181,40,22,10
182,40,53,20
183,41,43,14
184,41,10,19
185,41,12,20
186,41,1,2
187,41,31,10
188,41,57,2
189,42,40,8
190,42,51,5
191,42,49,12
192,42,45,19
193,43,15,12
194,43,31,9
195,43,22,13
196,43,7,7
197,43,27,6
198,44,24,11
199,44,20,6
200,44,46,17
201,44,15,9
202,44,1,11
203,45,41,10
204,46,40,9
205,46,4,5
206,47,43,6
207,47,59,18
208,47,25,4
209,47,56,18
210,47,57,13
211,47,47,20
212,47,38,15
213,48,23,19
214,48,20,16
215,48,3,20
216,48,42,16
217,48,4,7
218,48,60,1
219,49,57,14
220,49,49,17
221,49,39,6
222,50,16,10
223,50,51,2
224,50,48,7
225,50,49,20
226,50,6,3
227,50,37,18
228,50,20,9
229,51,10,12
230,51,45,18
231,52,7,16
232,53,43,9
233,53,36,16
234,53,40,15
235,54,48,16
236,54,50,8
237,55,27,11
238,55,34,20
239,55,15,16
240,55,54,5
241,55,31,11
242,55,17,6
243,56,53,5
244,56,17,11
245,56,3,12
246,56,20,17
247,56,6,13
248,56,37,19
249,57,13,14
250,57,2,1
251,57,57,8
252,57,46,13
253,58,25,10
254,58,31,3
255,58,7,18
256,58,52,5
257,58,20,5
258,58,38,19
259,58,48,18
260,59,19,9
261,59,47,20
262,59,13,4
263,59,21,20
264,59,60,9
265,59,2,2
266,59,9,8
267,59,45,17
268,60,3,12
269,60,32,3
270,60,27,7
271,60,60,1
272,60,56,12
273,60,1,5
274,60,47,12
275,60,54,2
276,61,40,1
277,61,20,9
278,62,45,10
279,62,31,7
280,62,6,2
281,62,3,1
282,62,54,12
283,62,60,19
284,62,22,4
285,63,11,18
286,63,55,1
287,63,42,10
288,63,35,8
289,63,29,12
290,63,42,9
291,64,54,9
292,65,20,2
293,65,7,20
294,66,32,3
295,66,14,14
296,66,29,7
297,66,52,13
298,66,36,15
299,66,54,20
300,66,15,7
301,67,38,15
302,67,37,11
303,67,3,9
304,67,54,14
305,67,23,20
306,67,9,17
307,67,49,20
308,67,31,4
309,68,18,18
310,68,43,11
311,68,36,6
312,68,43,14
313,68,34,20
314,68,19,20
315,69,49,18
316,69,32,13
317,69,34,10
318,69,31,4
319,69,32,18
320,70,43,1
321,71,51,17
322,71,59,11
323,71,20,18
324,71,60,10
325,71,21,10
326,71,21,6
327,71,3,1
328,71,5,9
329,72,10,1
330,72,32,3
331,72,5,20
332,72,25,11
333,72,31,11
334,72,44,19
335,72,4,11
336,72,54,2
337,73,5,1
338,73,15,11
339,73,5,17
340,73,10,12
341,74,44,8
342,74,9,10
343,74,13,12
344,74,13,3
345,74,1,19
346,74,52,15
347,74,34,5
348,75,30,19
